ライン,頻発停止(分類),日付,頻発停止回数,,
300t,PRタッチセーフ,7/1,0,,300tPRタッチセーフ45474
300t,PRタッチセーフ,7/2,0,,300tPRタッチセーフ45475
300t,PRタッチセーフ,7/3,0,,300tPRタッチセーフ45476
300t,PRタッチセーフ,7/4,0,,300tPRタッチセーフ45477
300t,PRタッチセーフ,7/5,0,,300tPRタッチセーフ45478
300t,PRタッチセーフ,7/6,0,,300tPRタッチセーフ45479
300t,PRタッチセーフ,7/7,0,,300tPRタッチセーフ45480
300t,PRタッチセーフ,7/8,0,,300tPRタッチセーフ45481
300t,PRタッチセーフ,7/9,0,,300tPRタッチセーフ45482
300t,PRタッチセーフ,7/10,0,,300tPRタッチセーフ45483
300t,PRタッチセーフ,7/11,0,,300tPRタッチセーフ45484
300t,PRタッチセーフ,7/12,0,,300tPRタッチセーフ45485
300t,PRタッチセーフ,7/13,0,,300tPRタッチセーフ45486
300t,PRタッチセーフ,7/14,0,,300tPRタッチセーフ45487
300t,PRタッチセーフ,7/15,,,300tPRタッチセーフ45488
300t,PRタッチセーフ,7/16,,,300tPRタッチセーフ45489
300t,PRタッチセーフ,7/17,,,300tPRタッチセーフ45490
300t,PRタッチセーフ,7/18,,,300tPRタッチセーフ45491
300t,PRタッチセーフ,7/19,,,300tPRタッチセーフ45492
300t,PRタッチセーフ,7/20,0,,300tPRタッチセーフ45493
300t,PRタッチセーフ,7/21,0,,300tPRタッチセーフ45494
300t,PRタッチセーフ,7/22,,,300tPRタッチセーフ45495
300t,PRタッチセーフ,7/23,,,300tPRタッチセーフ45496
300t,PRタッチセーフ,7/24,,,300tPRタッチセーフ45497
300t,PRタッチセーフ,7/25,,,300tPRタッチセーフ45498
300t,PRタッチセーフ,7/26,,,300tPRタッチセーフ45499
300t,PRタッチセーフ,7/27,0,,300tPRタッチセーフ45500
300t,PRタッチセーフ,7/28,0,,300tPRタッチセーフ45501
300t,PRタッチセーフ,7/29,,,300tPRタッチセーフ45502
300t,PRタッチセーフ,7/30,,,300tPRタッチセーフ45503
300t,PRタッチセーフ,7/31,,,300tPRタッチセーフ45504
300t,PR排出異常,7/1,0,,300tPR排出異常45474
300t,PR排出異常,7/2,0,,300tPR排出異常45475
300t,PR排出異常,7/3,0,,300tPR排出異常45476
300t,PR排出異常,7/4,0,,300tPR排出異常45477
300t,PR排出異常,7/5,0,,300tPR排出異常45478
300t,PR排出異常,7/6,0,,300tPR排出異常45479
300t,PR排出異常,7/7,0,,300tPR排出異常45480
300t,PR排出異常,7/8,0,,300tPR排出異常45481
300t,PR排出異常,7/9,0,,300tPR排出異常45482
300t,PR排出異常,7/10,0,,300tPR排出異常45483
300t,PR排出異常,7/11,0,,300tPR排出異常45484
300t,PR排出異常,7/12,0,,300tPR排出異常45485
300t,PR排出異常,7/13,0,,300tPR排出異常45486
300t,PR排出異常,7/14,0,,300tPR排出異常45487
300t,PR排出異常,7/15,,,300tPR排出異常45488
300t,PR排出異常,7/16,,,300tPR排出異常45489
300t,PR排出異常,7/17,,,300tPR排出異常45490
300t,PR排出異常,7/18,,,300tPR排出異常45491
300t,PR排出異常,7/19,,,300tPR排出異常45492
300t,PR排出異常,7/20,0,,300tPR排出異常45493
300t,PR排出異常,7/21,0,,300tPR排出異常45494
300t,PR排出異常,7/22,,,300tPR排出異常45495
300t,PR排出異常,7/23,,,300tPR排出異常45496
300t,PR排出異常,7/24,,,300tPR排出異常45497
300t,PR排出異常,7/25,,,300tPR排出異常45498
300t,PR排出異常,7/26,,,300tPR排出異常45499
300t,PR排出異常,7/27,0,,300tPR排出異常45500
300t,PR排出異常,7/28,0,,300tPR排出異常45501
300t,PR排出異常,7/29,,,300tPR排出異常45502
300t,PR排出異常,7/30,,,300tPR排出異常45503
300t,PR排出異常,7/31,,,300tPR排出異常45504
300t,CHワーク供給異常,7/1,0,,300tCHワーク供給異常45474
300t,CHワーク供給異常,7/2,0,,300tCHワーク供給異常45475
300t,CHワーク供給異常,7/3,6,,300tCHワーク供給異常45476
300t,CHワーク供給異常,7/4,1,,300tCHワーク供給異常45477
300t,CHワーク供給異常,7/5,4,,300tCHワーク供給異常45478
300t,CHワーク供給異常,7/6,0,,300tCHワーク供給異常45479
300t,CHワーク供給異常,7/7,0,,300tCHワーク供給異常45480
300t,CHワーク供給異常,7/8,0,,300tCHワーク供給異常45481
300t,CHワーク供給異常,7/9,7,,300tCHワーク供給異常45482
300t,CHワーク供給異常,7/10,2,,300tCHワーク供給異常45483
300t,CHワーク供給異常,7/11,2,,300tCHワーク供給異常45484
300t,CHワーク供給異常,7/12,0,,300tCHワーク供給異常45485
300t,CHワーク供給異常,7/13,0,,300tCHワーク供給異常45486
300t,CHワーク供給異常,7/14,0,,300tCHワーク供給異常45487
300t,CHワーク供給異常,7/15,,,300tCHワーク供給異常45488
300t,CHワーク供給異常,7/16,,,300tCHワーク供給異常45489
300t,CHワーク供給異常,7/17,,,300tCHワーク供給異常45490
300t,CHワーク供給異常,7/18,,,300tCHワーク供給異常45491
300t,CHワーク供給異常,7/19,,,300tCHワーク供給異常45492
300t,CHワーク供給異常,7/20,0,,300tCHワーク供給異常45493
300t,CHワーク供給異常,7/21,0,,300tCHワーク供給異常45494
300t,CHワーク供給異常,7/22,,,300tCHワーク供給異常45495
300t,CHワーク供給異常,7/23,,,300tCHワーク供給異常45496
300t,CHワーク供給異常,7/24,,,300tCHワーク供給異常45497
300t,CHワーク供給異常,7/25,,,300tCHワーク供給異常45498
300t,CHワーク供給異常,7/26,,,300tCHワーク供給異常45499
300t,CHワーク供給異常,7/27,0,,300tCHワーク供給異常45500
300t,CHワーク供給異常,7/28,0,,300tCHワーク供給異常45501
300t,CHワーク供給異常,7/29,,,300tCHワーク供給異常45502
300t,CHワーク供給異常,7/30,,,300tCHワーク供給異常45503
300t,CHワーク供給異常,7/31,,,300tCHワーク供給異常45504
300t,CHワーク排出異常,7/1,0,,300tCHワーク排出異常45474
300t,CHワーク排出異常,7/2,0,,300tCHワーク排出異常45475
300t,CHワーク排出異常,7/3,7,,300tCHワーク排出異常45476
300t,CHワーク排出異常,7/4,6,,300tCHワーク排出異常45477
300t,CHワーク排出異常,7/5,6,,300tCHワーク排出異常45478
300t,CHワーク排出異常,7/6,0,,300tCHワーク排出異常45479
300t,CHワーク排出異常,7/7,0,,300tCHワーク排出異常45480
300t,CHワーク排出異常,7/8,0,,300tCHワーク排出異常45481
300t,CHワーク排出異常,7/9,3,,300tCHワーク排出異常45482
300t,CHワーク排出異常,7/10,11,,300tCHワーク排出異常45483
300t,CHワーク排出異常,7/11,5,,300tCHワーク排出異常45484
300t,CHワーク排出異常,7/12,0,,300tCHワーク排出異常45485
300t,CHワーク排出異常,7/13,0,,300tCHワーク排出異常45486
300t,CHワーク排出異常,7/14,0,,300tCHワーク排出異常45487
300t,CHワーク排出異常,7/15,,,300tCHワーク排出異常45488
300t,CHワーク排出異常,7/16,,,300tCHワーク排出異常45489
300t,CHワーク排出異常,7/17,,,300tCHワーク排出異常45490
300t,CHワーク排出異常,7/18,,,300tCHワーク排出異常45491
300t,CHワーク排出異常,7/19,,,300tCHワーク排出異常45492
300t,CHワーク排出異常,7/20,0,,300tCHワーク排出異常45493
300t,CHワーク排出異常,7/21,0,,300tCHワーク排出異常45494
300t,CHワーク排出異常,7/22,,,300tCHワーク排出異常45495
300t,CHワーク排出異常,7/23,,,300tCHワーク排出異常45496
300t,CHワーク排出異常,7/24,,,300tCHワーク排出異常45497
300t,CHワーク排出異常,7/25,,,300tCHワーク排出異常45498
300t,CHワーク排出異常,7/26,,,300tCHワーク排出異常45499
300t,CHワーク排出異常,7/27,0,,300tCHワーク排出異常45500
300t,CHワーク排出異常,7/28,0,,300tCHワーク排出異常45501
300t,CHワーク排出異常,7/29,,,300tCHワーク排出異常45502
300t,CHワーク排出異常,7/30,,,300tCHワーク排出異常45503
300t,CHワーク排出異常,7/31,,,300tCHワーク排出異常45504
300t,その他,7/1,0,,300tその他45474
300t,その他,7/2,0,,300tその他45475
300t,その他,7/3,0,,300tその他45476
300t,その他,7/4,0,,300tその他45477
300t,その他,7/5,0,,300tその他45478
300t,その他,7/6,0,,300tその他45479
300t,その他,7/7,0,,300tその他45480
300t,その他,7/8,1,,300tその他45481
300t,その他,7/9,0,,300tその他45482
300t,その他,7/10,1,,300tその他45483
300t,その他,7/11,0,,300tその他45484
300t,その他,7/12,0,,300tその他45485
300t,その他,7/13,0,,300tその他45486
300t,その他,7/14,0,,300tその他45487
300t,その他,7/15,,,300tその他45488
300t,その他,7/16,,,300tその他45489
300t,その他,7/17,,,300tその他45490
300t,その他,7/18,,,300tその他45491
300t,その他,7/19,,,300tその他45492
300t,その他,7/20,0,,300tその他45493
300t,その他,7/21,0,,300tその他45494
300t,その他,7/22,,,300tその他45495
300t,その他,7/23,,,300tその他45496
300t,その他,7/24,,,300tその他45497
300t,その他,7/25,,,300tその他45498
300t,その他,7/26,,,300tその他45499
300t,その他,7/27,0,,300tその他45500
300t,その他,7/28,0,,300tその他45501
300t,その他,7/29,,,300tその他45502
300t,その他,7/30,,,300tその他45503
300t,その他,7/31,,,300tその他45504
SS,CH搬送異常,7/1,0,,SSCH搬送異常45474
SS,CH搬送異常,7/2,0,,SSCH搬送異常45475
SS,CH搬送異常,7/3,0,,SSCH搬送異常45476
SS,CH搬送異常,7/4,0,,SSCH搬送異常45477
SS,CH搬送異常,7/5,0,,SSCH搬送異常45478
SS,CH搬送異常,7/6,0,,SSCH搬送異常45479
SS,CH搬送異常,7/7,0,,SSCH搬送異常45480
SS,CH搬送異常,7/8,0,,SSCH搬送異常45481
SS,CH搬送異常,7/9,0,,SSCH搬送異常45482
SS,CH搬送異常,7/10,0,,SSCH搬送異常45483
SS,CH搬送異常,7/11,0,,SSCH搬送異常45484
SS,CH搬送異常,7/12,0,,SSCH搬送異常45485
SS,CH搬送異常,7/13,0,,SSCH搬送異常45486
SS,CH搬送異常,7/14,0,,SSCH搬送異常45487
SS,CH搬送異常,7/15,,,SSCH搬送異常45488
SS,CH搬送異常,7/16,,,SSCH搬送異常45489
SS,CH搬送異常,7/17,,,SSCH搬送異常45490
SS,CH搬送異常,7/18,,,SSCH搬送異常45491
SS,CH搬送異常,7/19,,,SSCH搬送異常45492
SS,CH搬送異常,7/20,0,,SSCH搬送異常45493
SS,CH搬送異常,7/21,0,,SSCH搬送異常45494
SS,CH搬送異常,7/22,,,SSCH搬送異常45495
SS,CH搬送異常,7/23,,,SSCH搬送異常45496
SS,CH搬送異常,7/24,,,SSCH搬送異常45497
SS,CH搬送異常,7/25,,,SSCH搬送異常45498
SS,CH搬送異常,7/26,,,SSCH搬送異常45499
SS,CH搬送異常,7/27,0,,SSCH搬送異常45500
SS,CH搬送異常,7/28,0,,SSCH搬送異常45501
SS,CH搬送異常,7/29,,,SSCH搬送異常45502
SS,CH搬送異常,7/30,,,SSCH搬送異常45503
SS,CH搬送異常,7/31,,,SSCH搬送異常45504
SS,PRタッチセンサー異常,7/1,0,,SSPRタッチセンサー異常45474
SS,PRタッチセンサー異常,7/2,0,,SSPRタッチセンサー異常45475
SS,PRタッチセンサー異常,7/3,0,,SSPRタッチセンサー異常45476
SS,PRタッチセンサー異常,7/4,0,,SSPRタッチセンサー異常45477
SS,PRタッチセンサー異常,7/5,2,,SSPRタッチセンサー異常45478
SS,PRタッチセンサー異常,7/6,0,,SSPRタッチセンサー異常45479
SS,PRタッチセンサー異常,7/7,0,,SSPRタッチセンサー異常45480
SS,PRタッチセンサー異常,7/8,0,,SSPRタッチセンサー異常45481
SS,PRタッチセンサー異常,7/9,0,,SSPRタッチセンサー異常45482
SS,PRタッチセンサー異常,7/10,4,,SSPRタッチセンサー異常45483
SS,PRタッチセンサー異常,7/11,13,,SSPRタッチセンサー異常45484
SS,PRタッチセンサー異常,7/12,0,,SSPRタッチセンサー異常45485
SS,PRタッチセンサー異常,7/13,0,,SSPRタッチセンサー異常45486
SS,PRタッチセンサー異常,7/14,0,,SSPRタッチセンサー異常45487
SS,PRタッチセンサー異常,7/15,,,SSPRタッチセンサー異常45488
SS,PRタッチセンサー異常,7/16,,,SSPRタッチセンサー異常45489
SS,PRタッチセンサー異常,7/17,,,SSPRタッチセンサー異常45490
SS,PRタッチセンサー異常,7/18,,,SSPRタッチセンサー異常45491
SS,PRタッチセンサー異常,7/19,,,SSPRタッチセンサー異常45492
SS,PRタッチセンサー異常,7/20,0,,SSPRタッチセンサー異常45493
SS,PRタッチセンサー異常,7/21,0,,SSPRタッチセンサー異常45494
SS,PRタッチセンサー異常,7/22,,,SSPRタッチセンサー異常45495
SS,PRタッチセンサー異常,7/23,,,SSPRタッチセンサー異常45496
SS,PRタッチセンサー異常,7/24,,,SSPRタッチセンサー異常45497
SS,PRタッチセンサー異常,7/25,,,SSPRタッチセンサー異常45498
SS,PRタッチセンサー異常,7/26,,,SSPRタッチセンサー異常45499
SS,PRタッチセンサー異常,7/27,0,,SSPRタッチセンサー異常45500
SS,PRタッチセンサー異常,7/28,0,,SSPRタッチセンサー異常45501
SS,PRタッチセンサー異常,7/29,,,SSPRタッチセンサー異常45502
SS,PRタッチセンサー異常,7/30,,,SSPRタッチセンサー異常45503
SS,PRタッチセンサー異常,7/31,,,SSPRタッチセンサー異常45504
SS,PR搬出異常,7/1,0,,SSPR搬出異常45474
SS,PR搬出異常,7/2,0,,SSPR搬出異常45475
SS,PR搬出異常,7/3,0,,SSPR搬出異常45476
SS,PR搬出異常,7/4,0,,SSPR搬出異常45477
SS,PR搬出異常,7/5,0,,SSPR搬出異常45478
SS,PR搬出異常,7/6,0,,SSPR搬出異常45479
SS,PR搬出異常,7/7,0,,SSPR搬出異常45480
SS,PR搬出異常,7/8,0,,SSPR搬出異常45481
SS,PR搬出異常,7/9,0,,SSPR搬出異常45482
SS,PR搬出異常,7/10,0,,SSPR搬出異常45483
SS,PR搬出異常,7/11,0,,SSPR搬出異常45484
SS,PR搬出異常,7/12,0,,SSPR搬出異常45485
SS,PR搬出異常,7/13,0,,SSPR搬出異常45486
SS,PR搬出異常,7/14,0,,SSPR搬出異常45487
SS,PR搬出異常,7/15,,,SSPR搬出異常45488
SS,PR搬出異常,7/16,,,SSPR搬出異常45489
SS,PR搬出異常,7/17,,,SSPR搬出異常45490
SS,PR搬出異常,7/18,,,SSPR搬出異常45491
SS,PR搬出異常,7/19,,,SSPR搬出異常45492
SS,PR搬出異常,7/20,0,,SSPR搬出異常45493
SS,PR搬出異常,7/21,0,,SSPR搬出異常45494
SS,PR搬出異常,7/22,,,SSPR搬出異常45495
SS,PR搬出異常,7/23,,,SSPR搬出異常45496
SS,PR搬出異常,7/24,,,SSPR搬出異常45497
SS,PR搬出異常,7/25,,,SSPR搬出異常45498
SS,PR搬出異常,7/26,,,SSPR搬出異常45499
SS,PR搬出異常,7/27,0,,SSPR搬出異常45500
SS,PR搬出異常,7/28,0,,SSPR搬出異常45501
SS,PR搬出異常,7/29,,,SSPR搬出異常45502
SS,PR搬出異常,7/30,,,SSPR搬出異常45503
SS,PR搬出異常,7/31,,,SSPR搬出異常45504
SS,その他,7/1,0,,SSその他45474
SS,その他,7/2,0,,SSその他45475
SS,その他,7/3,0,,SSその他45476
SS,その他,7/4,1,,SSその他45477
SS,その他,7/5,0,,SSその他45478
SS,その他,7/6,0,,SSその他45479
SS,その他,7/7,0,,SSその他45480
SS,その他,7/8,0,,SSその他45481
SS,その他,7/9,0,,SSその他45482
SS,その他,7/10,4,,SSその他45483
SS,その他,7/11,2,,SSその他45484
SS,その他,7/12,2,,SSその他45485
SS,その他,7/13,0,,SSその他45486
SS,その他,7/14,0,,SSその他45487
SS,その他,7/15,,,SSその他45488
SS,その他,7/16,,,SSその他45489
SS,その他,7/17,,,SSその他45490
SS,その他,7/18,,,SSその他45491
SS,その他,7/19,,,SSその他45492
SS,その他,7/20,0,,SSその他45493
SS,その他,7/21,0,,SSその他45494
SS,その他,7/22,,,SSその他45495
SS,その他,7/23,,,SSその他45496
SS,その他,7/24,,,SSその他45497
SS,その他,7/25,,,SSその他45498
SS,その他,7/26,,,SSその他45499
SS,その他,7/27,0,,SSその他45500
SS,その他,7/28,0,,SSその他45501
SS,その他,7/29,,,SSその他45502
SS,その他,7/30,,,SSその他45503
SS,その他,7/31,,,SSその他45504
PP,PR上昇コンベア,7/1,3,,PPPR上昇コンベア45474
PP,PR上昇コンベア,7/2,5,,PPPR上昇コンベア45475
PP,PR上昇コンベア,7/3,2,,PPPR上昇コンベア45476
PP,PR上昇コンベア,7/4,2,,PPPR上昇コンベア45477
PP,PR上昇コンベア,7/5,3,,PPPR上昇コンベア45478
PP,PR上昇コンベア,7/6,0,,PPPR上昇コンベア45479
PP,PR上昇コンベア,7/7,0,,PPPR上昇コンベア45480
PP,PR上昇コンベア,7/8,2,,PPPR上昇コンベア45481
PP,PR上昇コンベア,7/9,1,,PPPR上昇コンベア45482
PP,PR上昇コンベア,7/10,2,,PPPR上昇コンベア45483
PP,PR上昇コンベア,7/11,1,,PPPR上昇コンベア45484
PP,PR上昇コンベア,7/12,3,,PPPR上昇コンベア45485
PP,PR上昇コンベア,7/13,0,,PPPR上昇コンベア45486
PP,PR上昇コンベア,7/14,0,,PPPR上昇コンベア45487
PP,PR上昇コンベア,7/15,,,PPPR上昇コンベア45488
PP,PR上昇コンベア,7/16,,,PPPR上昇コンベア45489
PP,PR上昇コンベア,7/17,,,PPPR上昇コンベア45490
PP,PR上昇コンベア,7/18,,,PPPR上昇コンベア45491
PP,PR上昇コンベア,7/19,,,PPPR上昇コンベア45492
PP,PR上昇コンベア,7/20,0,,PPPR上昇コンベア45493
PP,PR上昇コンベア,7/21,0,,PPPR上昇コンベア45494
PP,PR上昇コンベア,7/22,,,PPPR上昇コンベア45495
PP,PR上昇コンベア,7/23,,,PPPR上昇コンベア45496
PP,PR上昇コンベア,7/24,,,PPPR上昇コンベア45497
PP,PR上昇コンベア,7/25,,,PPPR上昇コンベア45498
PP,PR上昇コンベア,7/26,,,PPPR上昇コンベア45499
PP,PR上昇コンベア,7/27,0,,PPPR上昇コンベア45500
PP,PR上昇コンベア,7/28,0,,PPPR上昇コンベア45501
PP,PR上昇コンベア,7/29,,,PPPR上昇コンベア45502
PP,PR上昇コンベア,7/30,,,PPPR上昇コンベア45503
PP,PR上昇コンベア,7/31,,,PPPR上昇コンベア45504
PP,上昇コンベア→荒GR,7/1,2,,PP上昇コンベア→荒GR45474
PP,上昇コンベア→荒GR,7/2,2,,PP上昇コンベア→荒GR45475
PP,上昇コンベア→荒GR,7/3,3,,PP上昇コンベア→荒GR45476
PP,上昇コンベア→荒GR,7/4,1,,PP上昇コンベア→荒GR45477
PP,上昇コンベア→荒GR,7/5,1,,PP上昇コンベア→荒GR45478
PP,上昇コンベア→荒GR,7/6,0,,PP上昇コンベア→荒GR45479
PP,上昇コンベア→荒GR,7/7,0,,PP上昇コンベア→荒GR45480
PP,上昇コンベア→荒GR,7/8,2,,PP上昇コンベア→荒GR45481
PP,上昇コンベア→荒GR,7/9,0,,PP上昇コンベア→荒GR45482
PP,上昇コンベア→荒GR,7/10,0,,PP上昇コンベア→荒GR45483
PP,上昇コンベア→荒GR,7/11,1,,PP上昇コンベア→荒GR45484
PP,上昇コンベア→荒GR,7/12,2,,PP上昇コンベア→荒GR45485
PP,上昇コンベア→荒GR,7/13,0,,PP上昇コンベア→荒GR45486
PP,上昇コンベア→荒GR,7/14,0,,PP上昇コンベア→荒GR45487
PP,上昇コンベア→荒GR,7/15,,,PP上昇コンベア→荒GR45488
PP,上昇コンベア→荒GR,7/16,,,PP上昇コンベア→荒GR45489
PP,上昇コンベア→荒GR,7/17,,,PP上昇コンベア→荒GR45490
PP,上昇コンベア→荒GR,7/18,,,PP上昇コンベア→荒GR45491
PP,上昇コンベア→荒GR,7/19,,,PP上昇コンベア→荒GR45492
PP,上昇コンベア→荒GR,7/20,0,,PP上昇コンベア→荒GR45493
PP,上昇コンベア→荒GR,7/21,0,,PP上昇コンベア→荒GR45494
PP,上昇コンベア→荒GR,7/22,,,PP上昇コンベア→荒GR45495
PP,上昇コンベア→荒GR,7/23,,,PP上昇コンベア→荒GR45496
PP,上昇コンベア→荒GR,7/24,,,PP上昇コンベア→荒GR45497
PP,上昇コンベア→荒GR,7/25,,,PP上昇コンベア→荒GR45498
PP,上昇コンベア→荒GR,7/26,,,PP上昇コンベア→荒GR45499
PP,上昇コンベア→荒GR,7/27,0,,PP上昇コンベア→荒GR45500
PP,上昇コンベア→荒GR,7/28,0,,PP上昇コンベア→荒GR45501
PP,上昇コンベア→荒GR,7/29,,,PP上昇コンベア→荒GR45502
PP,上昇コンベア→荒GR,7/30,,,PP上昇コンベア→荒GR45503
PP,上昇コンベア→荒GR,7/31,,,PP上昇コンベア→荒GR45504
PP,荒GR→CH振分部,7/1,0,,PP荒GR→CH振分部45474
PP,荒GR→CH振分部,7/2,0,,PP荒GR→CH振分部45475
PP,荒GR→CH振分部,7/3,0,,PP荒GR→CH振分部45476
PP,荒GR→CH振分部,7/4,0,,PP荒GR→CH振分部45477
PP,荒GR→CH振分部,7/5,0,,PP荒GR→CH振分部45478
PP,荒GR→CH振分部,7/6,0,,PP荒GR→CH振分部45479
PP,荒GR→CH振分部,7/7,0,,PP荒GR→CH振分部45480
PP,荒GR→CH振分部,7/8,0,,PP荒GR→CH振分部45481
PP,荒GR→CH振分部,7/9,0,,PP荒GR→CH振分部45482
PP,荒GR→CH振分部,7/10,0,,PP荒GR→CH振分部45483
PP,荒GR→CH振分部,7/11,1,,PP荒GR→CH振分部45484
PP,荒GR→CH振分部,7/12,0,,PP荒GR→CH振分部45485
PP,荒GR→CH振分部,7/13,0,,PP荒GR→CH振分部45486
PP,荒GR→CH振分部,7/14,0,,PP荒GR→CH振分部45487
PP,荒GR→CH振分部,7/15,,,PP荒GR→CH振分部45488
PP,荒GR→CH振分部,7/16,,,PP荒GR→CH振分部45489
PP,荒GR→CH振分部,7/17,,,PP荒GR→CH振分部45490
PP,荒GR→CH振分部,7/18,,,PP荒GR→CH振分部45491
PP,荒GR→CH振分部,7/19,,,PP荒GR→CH振分部45492
PP,荒GR→CH振分部,7/20,0,,PP荒GR→CH振分部45493
PP,荒GR→CH振分部,7/21,0,,PP荒GR→CH振分部45494
PP,荒GR→CH振分部,7/22,,,PP荒GR→CH振分部45495
PP,荒GR→CH振分部,7/23,,,PP荒GR→CH振分部45496
PP,荒GR→CH振分部,7/24,,,PP荒GR→CH振分部45497
PP,荒GR→CH振分部,7/25,,,PP荒GR→CH振分部45498
PP,荒GR→CH振分部,7/26,,,PP荒GR→CH振分部45499
PP,荒GR→CH振分部,7/27,0,,PP荒GR→CH振分部45500
PP,荒GR→CH振分部,7/28,0,,PP荒GR→CH振分部45501
PP,荒GR→CH振分部,7/29,,,PP荒GR→CH振分部45502
PP,荒GR→CH振分部,7/30,,,PP荒GR→CH振分部45503
PP,荒GR→CH振分部,7/31,,,PP荒GR→CH振分部45504
PP,CH振分→CH,7/1,3,,PPCH振分→CH45474
PP,CH振分→CH,7/2,1,,PPCH振分→CH45475
PP,CH振分→CH,7/3,2,,PPCH振分→CH45476
PP,CH振分→CH,7/4,0,,PPCH振分→CH45477
PP,CH振分→CH,7/5,1,,PPCH振分→CH45478
PP,CH振分→CH,7/6,0,,PPCH振分→CH45479
PP,CH振分→CH,7/7,0,,PPCH振分→CH45480
PP,CH振分→CH,7/8,0,,PPCH振分→CH45481
PP,CH振分→CH,7/9,0,,PPCH振分→CH45482
PP,CH振分→CH,7/10,1,,PPCH振分→CH45483
PP,CH振分→CH,7/11,3,,PPCH振分→CH45484
PP,CH振分→CH,7/12,1,,PPCH振分→CH45485
PP,CH振分→CH,7/13,0,,PPCH振分→CH45486
PP,CH振分→CH,7/14,0,,PPCH振分→CH45487
PP,CH振分→CH,7/15,,,PPCH振分→CH45488
PP,CH振分→CH,7/16,,,PPCH振分→CH45489
PP,CH振分→CH,7/17,,,PPCH振分→CH45490
PP,CH振分→CH,7/18,,,PPCH振分→CH45491
PP,CH振分→CH,7/19,,,PPCH振分→CH45492
PP,CH振分→CH,7/20,0,,PPCH振分→CH45493
PP,CH振分→CH,7/21,0,,PPCH振分→CH45494
PP,CH振分→CH,7/22,,,PPCH振分→CH45495
PP,CH振分→CH,7/23,,,PPCH振分→CH45496
PP,CH振分→CH,7/24,,,PPCH振分→CH45497
PP,CH振分→CH,7/25,,,PPCH振分→CH45498
PP,CH振分→CH,7/26,,,PPCH振分→CH45499
PP,CH振分→CH,7/27,0,,PPCH振分→CH45500
PP,CH振分→CH,7/28,0,,PPCH振分→CH45501
PP,CH振分→CH,7/29,,,PPCH振分→CH45502
PP,CH振分→CH,7/30,,,PPCH振分→CH45503
PP,CH振分→CH,7/31,,,PPCH振分→CH45504
PP,仕GR出口洗浄機コンベア詰まり,7/1,0,,PP仕GR出口洗浄機コンベア詰まり45474
PP,仕GR出口洗浄機コンベア詰まり,7/2,0,,PP仕GR出口洗浄機コンベア詰まり45475
PP,仕GR出口洗浄機コンベア詰まり,7/3,0,,PP仕GR出口洗浄機コンベア詰まり45476
PP,仕GR出口洗浄機コンベア詰まり,7/4,0,,PP仕GR出口洗浄機コンベア詰まり45477
PP,仕GR出口洗浄機コンベア詰まり,7/5,0,,PP仕GR出口洗浄機コンベア詰まり45478
PP,仕GR出口洗浄機コンベア詰まり,7/6,0,,PP仕GR出口洗浄機コンベア詰まり45479
PP,仕GR出口洗浄機コンベア詰まり,7/7,0,,PP仕GR出口洗浄機コンベア詰まり45480
PP,仕GR出口洗浄機コンベア詰まり,7/8,0,,PP仕GR出口洗浄機コンベア詰まり45481
PP,仕GR出口洗浄機コンベア詰まり,7/9,0,,PP仕GR出口洗浄機コンベア詰まり45482
PP,仕GR出口洗浄機コンベア詰まり,7/10,0,,PP仕GR出口洗浄機コンベア詰まり45483
PP,仕GR出口洗浄機コンベア詰まり,7/11,1,,PP仕GR出口洗浄機コンベア詰まり45484
PP,仕GR出口洗浄機コンベア詰まり,7/12,0,,PP仕GR出口洗浄機コンベア詰まり45485
PP,仕GR出口洗浄機コンベア詰まり,7/13,0,,PP仕GR出口洗浄機コンベア詰まり45486
PP,仕GR出口洗浄機コンベア詰まり,7/14,0,,PP仕GR出口洗浄機コンベア詰まり45487
PP,仕GR出口洗浄機コンベア詰まり,7/15,,,PP仕GR出口洗浄機コンベア詰まり45488
PP,仕GR出口洗浄機コンベア詰まり,7/16,,,PP仕GR出口洗浄機コンベア詰まり45489
PP,仕GR出口洗浄機コンベア詰まり,7/17,,,PP仕GR出口洗浄機コンベア詰まり45490
PP,仕GR出口洗浄機コンベア詰まり,7/18,,,PP仕GR出口洗浄機コンベア詰まり45491
PP,仕GR出口洗浄機コンベア詰まり,7/19,,,PP仕GR出口洗浄機コンベア詰まり45492
PP,仕GR出口洗浄機コンベア詰まり,7/20,0,,PP仕GR出口洗浄機コンベア詰まり45493
PP,仕GR出口洗浄機コンベア詰まり,7/21,0,,PP仕GR出口洗浄機コンベア詰まり45494
PP,仕GR出口洗浄機コンベア詰まり,7/22,,,PP仕GR出口洗浄機コンベア詰まり45495
PP,仕GR出口洗浄機コンベア詰まり,7/23,,,PP仕GR出口洗浄機コンベア詰まり45496
PP,仕GR出口洗浄機コンベア詰まり,7/24,,,PP仕GR出口洗浄機コンベア詰まり45497
PP,仕GR出口洗浄機コンベア詰まり,7/25,,,PP仕GR出口洗浄機コンベア詰まり45498
PP,仕GR出口洗浄機コンベア詰まり,7/26,,,PP仕GR出口洗浄機コンベア詰まり45499
PP,仕GR出口洗浄機コンベア詰まり,7/27,0,,PP仕GR出口洗浄機コンベア詰まり45500
